causa_acidente
ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS
ACESSO IRREGULAR
ACOSTAMENTO EM DESNÍVEL
ACUMULO DE AREIA OU DETRITOS SOBRE O PAVIMENTO
ACUMULO DE ÁGUA SOBRE O PAVIMENTO
ACUMULO DE ÓLEO SOBRE O PAVIMENTO
AFUNDAMENTO OU ONDULAÇÃO NO PAVIMENTO
AGRESSÃO EXTERNA
ANIMAIS NA PISTA
AUSÊNCIA DE REAÇÃO DO CONDUTOR
AUSÊNCIA DE SINALIZAÇÃO
AVARIAS E/OU DESGASTE EXCESSIVO NO PNEU
CARGA EXCESSIVA E/OU MAL ACONDICIONADA
CHUVA
CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE
CONDUTOR DESRESPEITOU A ILUMINAÇÃO VERMELHA DO SEMÁFORO
CONDUTOR DORMINDO
CONDUTOR USANDO CELULAR
CONVERSÃO PROIBIDA
CURVA ACENTUADA
DECLIVE ACENTUADO
DEFEITO MECÂNICO EM VEÍCULO
DEFEITO MECÂNICO NO VEÍCULO
DEFEITO NA VIA
DEFICIÊNCIA DO SISTEMA DE ILUMINAÇÃO/SINALIZAÇÃO
DEFICIÊNCIA OU NÃO ACIONAMENTO DO SISTEMA DE ILUMINAÇÃO/SINALIZAÇÃO DO VEÍCULO
DEIXAR DE ACIONAR O FAROL DA MOTOCICLETA (OU SIMILAR)
DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS
DEMAIS FALHAS NA VIA
DEMAIS FENÔMENOS DA NATUREZA
DESOBEDIÊNCIA À SINALIZAÇÃO
DESOBEDIÊNCIA ÀS NORMAS DE TRÂNSITO PELO CONDUTOR
DESOBEDIÊNCIA ÀS NORMAS DE TRÂNSITO PELO PEDESTRE
DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO
DESVIO TEMPORÁRIO
DORMINDO
ENTRADA INOPINADA DO PEDESTRE
ESTACIONAR OU PARAR EM LOCAL PROIBIDO
FAIXAS DE TRÂNSITO COM LARGURA INSUFICIENTE
FALTA DE ACOSTAMENTO
FALTA DE ATENÇÃO
FALTA DE ATENÇÃO DO PEDESTRE
FALTA DE ATENÇÃO À CONDUÇÃO
FALTA DE ELEMENTO DE CONTENÇÃO QUE EVITE A SAÍDA DO LEITO CARROÇÁVEL
FENÔMENOS DA NATUREZA
FREAR BRUSCAMENTE
FUMAÇA
ILUMINAÇÃO DEFICIENTE
INGESTÃO DE SUBSTÂNCIAS PSICOATIVAS
INGESTÃO DE SUBSTÂNCIAS PSICOATIVAS PELO CONDUTOR
INGESTÃO DE ÁLCOOL
INGESTÃO DE ÁLCOOL E/OU SUBSTÂNCIAS PSICOATIVAS PELO PEDESTRE
INGESTÃO DE ÁLCOOL OU DE SUBSTÂNCIAS PSICOATIVAS PELO PEDESTRE
INGESTÃO DE ÁLCOOL PELO CONDUTOR
MAL SÚBITO
MAL SÚBITO DO CONDUTOR
MANOBRA DE MUDANÇA DE FAIXA
MODIFICAÇÃO PROIBIDA
NEBLINA
NÃO GUARDAR DISTÂNCIA DE SEGURANÇA
OBJETO ESTÁTICO SOBRE O LEITO CARROÇÁVEL
OBRAS NA PISTA
OBSTRUÇÃO NA VIA
OUTRAS
PARTICIPAR DE RACHA
PEDESTRE - INGESTÃO DE ÁLCOOL/ SUBSTÂNCIAS PSICOATIVAS
PEDESTRE ANDAVA NA PISTA
PEDESTRE CRUZAVA A PISTA FORA DA FAIXA
PISTA EM DESNÍVEL
PISTA ESBURACADA
PISTA ESCORREGADIA
PROBLEMA COM O FREIO
PROBLEMA NA SUSPENSÃO
REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR
REDUTOR DE VELOCIDADE EM DESACORDO
RESTRIÇÃO DE VISIBILIDADE
RESTRIÇÃO DE VISIBILIDADE EM CURVAS HORIZONTAIS
RESTRIÇÃO DE VISIBILIDADE EM CURVAS VERTICAIS
RETORNO PROIBIDO
SEMÁFORO COM DEFEITO
SINALIZAÇÃO DA VIA INSUFICIENTE OU INADEQUADA
SINALIZAÇÃO ENCOBERTA
SINALIZAÇÃO MAL POSICIONADA
SISTEMA DE DRENAGEM INEFICIENTE
SUICÍDIO (PRESUMIDO)
TRAFEGAR COM MOTOCICLETA (OU SIMILAR) ENTRE AS FAIXAS
TRANSITAR NA CALÇADA
TRANSITAR NA CONTRAMÃO
TRANSITAR NO ACOSTAMENTO
TRANSTORNOS MENTAIS (EXCETO SUICIDIO)
ULTRAPASSAGEM INDEVIDA
VELOCIDADE INCOMPATÍVEL
ÁREA URBANA SEM A PRESENÇA DE LOCAL APROPRIADO PARA A TRAVESSIA DE PEDESTRES
