tipo_acidente
ATROPELAMENTO DE ANIMAL
ATROPELAMENTO DE PEDESTRE
ATROPELAMENTO DE PESSOA
CAPOTAMENTO
COLISÃO COM BICICLETA
COLISÃO COM OBJETO
COLISÃO COM OBJETO EM MOVIMENTO
COLISÃO COM OBJETO ESTÁTICO
COLISÃO COM OBJETO FIXO
COLISÃO COM OBJETO MÓVEL
COLISÃO FRONTAL
COLISÃO LATERAL
COLISÃO LATERAL MESMO SENTIDO
COLISÃO LATERAL SENTIDO OPOSTO
COLISÃO TRANSVERSAL
COLISÃO TRASEIRA
DANOS EVENTUAIS
DERRAMAMENTO DE CARGA
ENGAVETAMENTO
EVENTOS ATÍPICOS
INCÊNDIO
QUEDA DE MOTOCICLETA / BICICLETA / VEÍCULO
QUEDA DE OCUPANTE DE VEÍCULO
SAÍDA DE LEITO CARROÇÁVEL
SAÍDA DE PISTA
SINISTRO PESSOAL DE TRÂNSITO
TOMBAMENTO
